iter	Passed	Remaining
0	58	58160
1	58	29228
2	58	19573
3	59	14744
4	59	11850
5	59	9916
6	60	8532
7	60	7496
8	60	6697
9	61	6062
10	61	5546
11	62	5108
12	62	4735
13	62	4411
14	62	4132
15	63	3889
16	63	3675
17	63	3484
18	64	3312
19	64	3157
20	64	3017
21	65	2891
22	65	2776
23	65	2670
24	66	2574
25	66	2488
26	66	2403
27	67	2326
28	67	2254
29	67	2185
30	67	2121
31	68	2062
32	68	2005
33	68	1953
34	69	1905
35	69	1863
36	69	1821
37	70	1779
38	70	1740
39	70	1702
40	71	1665
41	71	1634
42	72	1604
43	72	1575
44	72	1546
45	73	1517
46	73	1489
47	73	1462
48	74	1436
49	74	1412
50	74	1389
51	74	1366
52	75	1347
53	75	1325
54	76	1308
55	76	1290
56	76	1272
57	77	1253
58	77	1236
59	77	1220
60	78	1204
61	78	1189
62	78	1174
63	79	1159
64	79	1145
65	80	1133
66	80	1120
67	80	1104
68	80	1091
69	81	1079
70	81	1068
71	82	1057
72	82	1045
73	82	1034
74	82	1023
75	83	1012
76	83	1002
77	83	992
78	84	984
79	84	974
80	85	964
81	85	957
82	85	949
83	86	941
84	86	932
85	86	924
86	87	914
87	87	907
88	87	900
89	88	893
90	88	886
91	89	880
92	89	873
93	89	867
94	90	861
95	90	854
96	91	848
97	91	842
98	91	835
99	92	829
100	92	824
101	92	816
102	93	810
103	93	805
104	93	799
105	94	793
106	94	788
107	94	782
108	95	777
109	95	772
110	95	766
111	96	762
112	96	757
113	96	753
114	97	748
115	97	742
116	97	738
117	98	733
118	98	729
119	98	725
120	99	722
121	99	718
122	100	713
123	100	708
124	100	704
125	100	700
126	101	696
127	101	692
128	102	688
129	102	684
130	102	681
131	103	677
132	103	674
133	104	672
134	104	669
135	104	666
136	105	663
137	105	659
138	105	655
139	106	652
140	106	649
141	106	646
142	107	642
143	107	638
144	107	635
145	108	632
146	108	629
147	108	625
148	109	622
149	109	619
150	109	616
151	109	613
152	110	610
153	110	607
154	110	604
155	111	601
156	111	599
157	111	596
158	112	593
159	112	591
160	113	589
161	113	586
162	113	584
163	114	581
164	114	579
165	114	576
166	115	574
167	115	572
168	115	570
169	116	567
170	116	566
171	117	563
172	117	562
173	117	560
174	118	557
175	118	555
176	119	553
177	119	550
178	119	548
179	120	547
180	120	544
181	120	542
182	120	539
183	121	538
184	121	536
185	122	534
186	122	532
187	122	530
188	123	528
