iter	Passed	Remaining
0	3	3315
1	4	2138
2	4	1541
3	5	1248
4	5	1064
5	5	945
6	6	872
7	6	806
8	6	753
9	7	709
10	7	674
11	7	643
12	8	621
13	8	599
14	8	583
15	9	567
16	9	551
17	9	538
18	10	524
19	10	513
20	10	509
21	11	499
22	11	493
23	11	486
24	12	479
25	12	470
26	12	466
27	13	459
28	13	453
29	13	446
30	14	441
31	14	436
32	14	432
33	15	426
34	15	426
35	15	425
36	16	423
37	16	420
38	16	418
39	17	416
40	17	412
41	17	409
42	18	408
43	18	405
44	19	403
45	19	402
46	19	401
47	20	400
48	20	397
49	20	395
50	21	392
51	21	389
52	21	387
53	22	385
54	22	384
55	22	385
56	23	385
57	23	384
58	24	382
59	24	380
60	24	378
61	24	376
62	25	375
63	25	373
64	25	372
65	26	370
66	26	369
67	26	367
68	27	365
69	27	363
70	27	362
71	27	360
72	28	358
73	28	356
74	28	355
75	29	354
76	29	352
77	29	351
78	29	349
79	30	348
80	30	346
81	30	345
82	30	342
83	31	341
84	31	339
85	31	338
86	32	337
87	32	335
88	32	334
89	33	333
90	33	334
91	33	335
92	34	334
93	34	334
94	35	334
95	35	334
96	35	333
97	36	332
98	36	331
99	36	331
100	37	333
101	37	333
102	38	333
103	38	333
104	39	333
105	39	332
106	39	332
107	40	331
108	40	330
109	40	329
110	41	330
111	41	331
112	42	330
113	42	330
114	42	330
115	43	329
116	43	328
117	44	329
118	44	328
119	44	327
120	45	326
121	45	325
122	45	324
123	45	324
124	46	323
125	46	322
126	46	322
127	47	321
128	47	320
129	47	319
130	48	318
131	48	318
132	48	317
133	49	316
134	49	316
135	49	316
136	50	316
137	50	317
138	51	317
139	51	316
140	51	316
141	52	314
142	52	314
143	52	313
144	53	315
145	53	315
146	54	314
147	54	314
148	55	314
149	55	314
150	55	314
151	56	313
152	56	312
153	56	311
154	57	310
155	57	310
156	57	309
157	57	308
158	58	307
159	58	306
160	58	305
161	58	304
162	59	303
163	59	302
164	59	302
165	60	302
166	60	301
167	60	300
168	61	299
169	61	299
170	61	298
171	61	297
172	62	297
173	62	296
174	62	295
175	63	294
176	63	294
177	63	293
178	63	292
179	64	292
180	64	292
181	65	292
